TransID,AccountID,Date,Transaction_Type,Amount,Channel,Merchant
T000001,ACC00105,2024-06-30,Transfer,7118,Branch,Walmart
T000002,ACC00705,2023-11-15,Deposit,4474,Online,Uber
T000003,ACC00330,2024-07-14,Transfer,1455,POS,Airbnb
T000004,ACC00439,2023-11-19,Withdrawal,5847,ATM,Shell
T000005,ACC00132,2024-03-17,Payment,1476,ATM,Netflix
T000006,ACC00382,2024-11-26,Payment,9978,Branch,Walmart
T000007,ACC00138,2023-12-24,Payment,7177,ATM,Airbnb
T000008,ACC00270,2025-01-23,Payment,9116,Branch,Airbnb
T000009,ACC00550,2024-01-10,Deposit,8489,Branch,Netflix
T000010,ACC00396,2025-05-07,Deposit,4436,POS,Amazon
T000011,ACC00557,2024-11-28,Withdrawal,5942,Branch,Shell
T000012,ACC00464,2024-08-11,Withdrawal,1188,Branch,Target
T000013,ACC00675,2023-12-13,Withdrawal,2561,Online,Airbnb
T000014,ACC00450,2023-09-01,Withdrawal,4380,POS,Apple
T000015,ACC00331,2023-09-22,Transfer,9790,ATM,Target
T000016,ACC00253,2025-02-05,Withdrawal,6332,Online,Hospital
T000017,ACC00681,2024-02-28,Payment,9977,Online,Netflix
T000018,ACC00285,2024-03-25,Payment,4872,POS,Airbnb
T000019,ACC00274,2024-10-06,Payment,9189,POS,Apple
T000020,ACC00020,2023-09-28,Transfer,5865,Online,Hospital
T000021,ACC00239,2025-03-12,Withdrawal,1213,POS,Target
T000022,ACC00270,2023-09-06,Payment,7359,POS,Walmart
T000023,ACC00418,2025-08-08,Payment,6396,Branch,Uber
T000024,ACC00310,2025-04-12,Payment,1129,POS,Target
T000025,ACC00031,2023-09-01,Payment,8398,Branch,Uber
T000026,ACC00104,2024-02-05,Deposit,3985,Online,Apple
T000027,ACC00682,2024-02-06,Withdrawal,8727,Online,Airbnb
T000028,ACC00186,2023-12-06,Withdrawal,9612,ATM,Uber
T000029,ACC00128,2024-12-30,Transfer,1302,POS,Netflix
T000030,ACC00210,2024-05-25,Deposit,9396,Online,Apple
T000031,ACC00414,2025-07-05,Transfer,3665,Branch,Airbnb
T000032,ACC00281,2023-12-22,Payment,4796,Online,Apple
T000033,ACC00253,2024-11-28,Transfer,2227,POS,Target
T000034,ACC00019,2025-06-27,Payment,6600,ATM,Apple
T000035,ACC00712,2024-03-25,Payment,1027,ATM,Target
T000036,ACC00732,2025-06-06,Withdrawal,5186,Online,Netflix
T000037,ACC00136,2024-03-27,Withdrawal,3600,ATM,Shell
T000038,ACC00223,2024-05-07,Withdrawal,8249,POS,Netflix
T000039,ACC00003,2024-11-02,Withdrawal,9029,POS,Hospital
T000040,ACC00236,2024-08-28,Withdrawal,6186,ATM,Target
T000041,ACC00465,2024-04-14,Deposit,6657,Branch,Airbnb
T000042,ACC00228,2024-10-10,Withdrawal,4732,ATM,LocalStore
T000043,ACC00654,2024-01-14,Transfer,6025,ATM,Shell
T000044,ACC00499,2023-09-17,Payment,5132,Online,Netflix
T000045,ACC00521,2024-10-10,Withdrawal,7693,Branch,LocalStore
T000046,ACC00702,2024-12-15,Deposit,2099,ATM,Walmart
T000047,ACC00677,2024-10-24,Transfer,2066,Online,LocalStore
T000048,ACC00139,2024-09-10,Transfer,9020,Online,Hospital
T000049,ACC00276,2024-02-14,Payment,3690,Online,Hospital
T000050,ACC00291,2023-10-07,Transfer,4895,POS,Netflix
T000051,ACC00053,2024-01-18,Transfer,3124,Online,LocalStore
T000052,ACC00687,2024-11-19,Transfer,7393,Online,Uber
T000053,ACC00110,2025-07-06,Transfer,1639,POS,Airbnb
T000054,ACC00715,2025-03-01,Deposit,1553,POS,Walmart
T000055,ACC00648,2024-09-10,Payment,7522,Online,Target
T000056,ACC00004,2024-04-07,Withdrawal,5779,ATM,Amazon
T000057,ACC00667,2024-11-14,Transfer,1914,Branch,Uber
T000058,ACC00684,2024-12-07,Deposit,1446,POS,Walmart
T000059,ACC00047,2023-12-02,Payment,5041,Branch,Walmart
T000060,ACC00094,2024-07-02,Withdrawal,3327,POS,Amazon
T000061,ACC00560,2024-11-16,Payment,4126,Online,Hospital
T000062,ACC00752,2025-05-01,Deposit,9200,POS,Walmart
T000063,ACC00213,2023-12-31,Deposit,9633,Online,Uber
T000064,ACC00436,2025-06-02,Deposit,4562,Branch,Netflix
T000065,ACC00508,2024-03-22,Transfer,5573,ATM,Apple
T000066,ACC00651,2024-05-02,Deposit,6133,Online,Apple
T000067,ACC00205,2024-10-28,Withdrawal,3071,Branch,Apple
T000068,ACC00381,2024-09-11,Transfer,8099,Branch,Uber
T000069,ACC00073,2024-08-09,Payment,8466,POS,Airbnb
T000070,ACC00516,2024-10-02,Withdrawal,3741,Online,Target
T000071,ACC00076,2024-05-18,Transfer,6337,Branch,Amazon
T000072,ACC00077,2023-11-13,Deposit,3327,ATM,Shell
T000073,ACC00768,2024-11-02,Payment,2056,POS,Hospital
T000074,ACC00410,2025-08-22,Deposit,3154,POS,Apple
T000075,ACC00614,2024-04-15,Withdrawal,3231,Branch,LocalStore
T000076,ACC00106,2024-04-28,Withdrawal,5074,Online,Hospital
T000077,ACC00551,2023-09-07,Transfer,9455,POS,Uber
T000078,ACC00476,2025-03-24,Withdrawal,732,Online,Airbnb
T000079,ACC00275,2024-03-02,Payment,7785,Branch,Airbnb
T000080,ACC00088,2024-01-20,Transfer,7574,Branch,Apple
T000081,ACC00723,2025-03-27,Payment,8285,Online,LocalStore
T000082,ACC00077,2025-08-15,Deposit,4845,ATM,Shell
T000083,ACC00077,2024-04-05,Payment,3829,POS,Apple
T000084,ACC00442,2023-12-18,Payment,3374,Branch,Amazon
T000085,ACC00540,2025-08-14,Withdrawal,9959,ATM,Hospital
T000086,ACC00245,2025-07-09,Deposit,6099,ATM,Netflix
T000087,ACC00578,2024-10-27,Withdrawal,4328,Online,Hospital
T000088,ACC00778,2024-12-16,Deposit,6946,Online,LocalStore
T000089,ACC00382,2025-04-09,Deposit,2790,Online,Apple
T000090,ACC00717,2025-05-02,Payment,7408,ATM,Amazon
T000091,ACC00570,2025-07-22,Withdrawal,2462,POS,LocalStore
T000092,ACC00713,2024-07-13,Payment,5298,Online,Target
T000093,ACC00737,2024-11-14,Payment,8530,POS,LocalStore
T000094,ACC00142,2024-03-17,Payment,435,Online,Uber
T000095,ACC00368,2025-06-24,Deposit,8971,ATM,LocalStore
T000096,ACC00084,2024-08-18,Withdrawal,3985,POS,Shell
T000097,ACC00143,2025-03-29,Withdrawal,8809,POS,Apple
T000098,ACC00352,2024-11-03,Payment,6679,ATM,Uber
T000099,ACC00545,2024-01-16,Deposit,2134,POS,LocalStore
T000100,ACC00152,2024-07-30,Withdrawal,1310,ATM,Uber
T000101,ACC00158,2025-01-11,Transfer,5025,ATM,Amazon
T000102,ACC00446,2024-08-27,Withdrawal,8667,Branch,Netflix
T000103,ACC00653,2024-02-15,Payment,1974,Online,Uber
T000104,ACC00763,2024-10-13,Transfer,5577,Branch,Hospital
T000105,ACC00303,2024-02-11,Deposit,5289,ATM,Target
T000106,ACC00624,2024-02-24,Transfer,2370,ATM,Airbnb
T000107,ACC00656,2024-02-04,Transfer,2049,POS,Target
T000108,ACC00450,2023-10-11,Payment,1194,ATM,LocalStore
T000109,ACC00721,2024-08-06,Withdrawal,3944,ATM,Netflix
T000110,ACC00224,2025-03-22,Deposit,5804,ATM,Target
T000111,ACC00043,2024-08-23,Transfer,8182,Online,Airbnb
T000112,ACC00264,2025-06-25,Payment,787,Branch,Shell
T000113,ACC00756,2024-12-31,Withdrawal,3389,Branch,Shell
T000114,ACC00003,2025-05-01,Transfer,2428,Online,Netflix
T000115,ACC00637,2025-03-09,Payment,4087,Online,Airbnb
T000116,ACC00268,2025-04-03,Payment,2449,Online,Airbnb
T000117,ACC00596,2023-10-06,Payment,7814,Branch,Amazon
T000118,ACC00016,2024-03-27,Deposit,5279,Branch,Walmart
T000119,ACC00334,2025-01-07,Withdrawal,5597,ATM,Uber
T000120,ACC00464,2024-01-05,Transfer,1999,Branch,Netflix
T000121,ACC00059,2023-09-25,Withdrawal,7878,POS,Apple
T000122,ACC00177,2023-09-22,Withdrawal,9268,Branch,Amazon
T000123,ACC00063,2024-05-09,Transfer,954,Online,Shell
T000124,ACC00561,2024-11-23,Withdrawal,8230,Branch,Amazon
T000125,ACC00307,2024-07-25,Deposit,1907,ATM,LocalStore
T000126,ACC00246,2024-03-16,Transfer,5761,Branch,Uber
T000127,ACC00289,2025-08-11,Transfer,5160,Online,Apple
T000128,ACC00798,2023-10-05,Payment,1707,POS,Netflix
T000129,ACC00332,2025-01-25,Withdrawal,5895,Online,LocalStore
T000130,ACC00527,2024-01-29,Transfer,1675,POS,Walmart
T000131,ACC00255,2024-12-16,Transfer,9772,ATM,Apple
T000132,ACC00604,2024-10-07,Deposit,9935,ATM,Airbnb
T000133,ACC00510,2024-07-27,Payment,8961,Branch,Apple
T000134,ACC00791,2024-08-26,Transfer,9553,ATM,Amazon
T000135,ACC00718,2023-10-09,Deposit,9470,ATM,Hospital
T000136,ACC00606,2025-03-01,Transfer,1795,Online,LocalStore
T000137,ACC00737,2023-10-17,Transfer,5958,Online,Amazon
T000138,ACC00463,2024-01-14,Transfer,2617,Branch,Airbnb
T000139,ACC00199,2024-09-06,Deposit,8600,Branch,Shell
T000140,ACC00271,2024-11-13,Withdrawal,2640,Branch,Amazon
T000141,ACC00746,2024-08-25,Transfer,7670,Branch,Apple
T000142,ACC00558,2024-05-31,Transfer,9871,Online,Walmart
T000143,ACC00064,2024-05-27,Withdrawal,248,Branch,Apple
T000144,ACC00230,2024-07-20,Transfer,3546,Branch,Apple
